draft_tag,definition
blindable,Campeón estable que se puede seleccionar temprano sin mostrar demasiado el plan.
counterpick,Campeón usado para responder directamente a una selección rival.
flex_pick,Selección que puede jugarse en varias líneas y oculta información del draft.
early_pressure,Campeón o composición fuerte en fase temprana.
scaling_pick,"Selección que gana valor con niveles, objetos o minuto avanzado."
teamfight_core,Pieza central para peleas 5v5.
side_lane_threat,Campeón que presiona laterales y obliga respuestas.
objective_control,"Campeón con herramientas para visión, zona o control de dragón/barón."
anti_dive,Respuesta contra composiciones que entran a backline.
poke_tool,Fuente de desgaste antes de objetivos.
