champion,relation_type,rank,related_champion,estimated_winrate_vs_champion,estimated_delta,matchup_reason,source_type
Aatrox,countered_by,1,Fiora,45.13,-5.67,castiga engages o dashes,curated_core
Aatrox,countered_by,2,Irelia,47.68,-4.01,tiene mejor rango y control de oleada,curated_core
Aatrox,countered_by,3,Kled,44.19,-3.74,tiene mejor rango y control de oleada,curated_core
Aatrox,favored_against,1,Sion,54.05,4.56,gana prioridad para objetivos,curated_core
Aatrox,favored_against,2,Ornn,52.61,4.34,controla mejor los intercambios,curated_core
Aatrox,favored_against,3,DrMundo,56.98,5.48,su kit responde bien al patrón rival,curated_core
Ahri,countered_by,1,Lissandra,46.35,-3.99,escala mejor y fuerza peleas favorables,curated_core
Ahri,countered_by,2,Vex,44.64,-6.09,castiga engages o dashes,curated_core
Ahri,countered_by,3,Annie,47.22,-3.44,tiene mejor rango y control de oleada,curated_core
Ahri,favored_against,1,Syndra,54.87,6.82,controla mejor los intercambios,curated_core
Ahri,favored_against,2,Orianna,52.51,4.68,tiene mejor escalado en la composición,curated_core
Ahri,favored_against,3,Azir,55.99,3.42,controla mejor los intercambios,curated_core
Akali,countered_by,1,Heimerdinger,47.07,-7.63,castiga engages o dashes,heuristic_extended
Akali,countered_by,2,Xerath,47.45,-6.79,castiga engages o dashes,heuristic_extended
Akali,countered_by,3,Qiyana,48.34,-5.84,tiene mejor rango y control de oleada,heuristic_extended
Akali,favored_against,1,Kassadin,57.78,6.7,puede abusar la fase temprana,heuristic_extended
Akali,favored_against,2,Corki,56.6,4.86,tiene mejor escalado en la composición,heuristic_extended
Akali,favored_against,3,Fizz,54.8,4.34,su kit responde bien al patrón rival,heuristic_extended
Akshan,countered_by,1,Aurora,46.19,-7.47,niega el plan principal del campeón,heuristic_extended
Akshan,countered_by,2,VelKoz,48.68,-3.8,castiga engages o dashes,heuristic_extended
Akshan,countered_by,3,LeBlanc,47.41,-5.2,tiene mejor rango y control de oleada,heuristic_extended
Akshan,favored_against,1,Veigar,56.26,7.49,gana prioridad para objetivos,heuristic_extended
Akshan,favored_against,2,Talon,55.72,6.77,puede abusar la fase temprana,heuristic_extended
Akshan,favored_against,3,Jayce,52.2,5.25,su kit responde bien al patrón rival,heuristic_extended
Alistar,countered_by,1,Blitzcrank,44.86,-5.41,castiga engages o dashes,heuristic_extended
Alistar,countered_by,2,Rakan,48.03,-3.13,supera la fase de línea,heuristic_extended
Alistar,countered_by,3,Janna,43.64,-2.98,supera la fase de línea,heuristic_extended
Alistar,favored_against,1,RenataGlasc,53.54,7.43,su kit responde bien al patrón rival,heuristic_extended
Alistar,favored_against,2,Lux,54.45,6.4,puede abusar la fase temprana,heuristic_extended
Alistar,favored_against,3,Zyra,55.1,3.06,su kit responde bien al patrón rival,heuristic_extended
Ambessa,countered_by,1,Jax,44.96,-2.64,castiga engages o dashes,heuristic_extended
Ambessa,countered_by,2,Tryndamere,44.78,-5.27,escala mejor y fuerza peleas favorables,heuristic_extended
Ambessa,countered_by,3,Illaoi,45.29,-7.76,escala mejor y fuerza peleas favorables,heuristic_extended
Ambessa,favored_against,1,Kennen,53.85,4.19,gana prioridad para objetivos,heuristic_extended
Ambessa,favored_against,2,Vayne,57.51,6.53,puede abusar la fase temprana,heuristic_extended
Ambessa,favored_against,3,ChoGath,57.1,3.59,gana prioridad para objetivos,heuristic_extended
Amumu,countered_by,1,Karthus,43.42,-3.89,castiga engages o dashes,heuristic_extended
Amumu,countered_by,2,Viego,43.59,-4.46,tiene mejor rango y control de oleada,heuristic_extended
Amumu,countered_by,3,Nocturne,48.47,-7.75,supera la fase de línea,heuristic_extended
Amumu,favored_against,1,Ivern,54.82,3.43,tiene mejor escalado en la composición,heuristic_extended
Amumu,favored_against,2,Gragas,55.54,4.8,puede abusar la fase temprana,heuristic_extended
Amumu,favored_against,3,Hecarim,56.02,4.63,controla mejor los intercambios,heuristic_extended
Anivia,countered_by,1,Heimerdinger,47.88,-6.96,niega el plan principal del campeón,heuristic_extended
Anivia,countered_by,2,Annie,48.47,-3.84,supera la fase de línea,heuristic_extended
Anivia,countered_by,3,Tristana,44.41,-7.78,escala mejor y fuerza peleas favorables,heuristic_extended
Anivia,favored_against,1,AurelionSol,56.63,3.17,controla mejor los intercambios,heuristic_extended
