strategy_label,priority_objective,priority_level,reason
agresivo early,Herald,alta,Acelera placas y oro temprano.
jugar a objetivos,Dragon,muy alta,El plan principal es stacking y visión.
escalar late,Dragon,media,Se pelea si no compromete el escalado.
front-to-back,Baron,alta,Buena composición para controlar zona y DPS.
poke composition,Dragon/Baron,alta,Necesita llegar primero y desgastar.
splitpush táctico,Baron,alta,La presión lateral fuerza respuesta rival.
wombo combo,Dragon,alta,Objetivos cerrados facilitan ultimates en área.
protect hypercarry,Baron/Elder,alta,El carry tardío asegura DPS sostenido.
tempo composition,Herald,muy alta,Convierte prioridad temprana en mapa.
dive composition,Towers,alta,Busca dives y caída de torres.
pick composition,Baron vision,alta,Caza enemigos antes del objetivo.
macro composition,Side towers/Baron,media-alta,Gana por oleadas y visión.
