champion_a,champion_b,synergy_type,strategic_reason
Malphite,Orianna,wombo combo,Engage en área + Shockwave.
Wukong,Orianna,wombo combo,Doble knock-up con daño en área.
Vi,KaiSa,dive composition,Entrada garantizada sobre backline.
Nautilus,KaiSa,pick/dive,Engage point-and-click habilita follow-up.
Lulu,Jinx,protect hypercarry,"Peel, velocidad y supervivencia para DPS."
Milio,Aphelios,protect hypercarry,Rango adicional y protección.
Maokai,Varus,objective control,CC y poke para controlar dragón.
Taliyah,Poppy,tempo composition,Castigan movilidad y controlan río.
Sejuani,KSante,front-to-back,Frontline doble y control de pelea.
Jayce,Varus,poke composition,Doble poke antes de objetivos.
TwistedFate,Camille,pick composition,Global + lockdown en sidelane.
Rakan,Xayah,front-to-back,Engage y seguridad por sinergia natural.
