scouting_id,ally_top,ally_jungle,ally_mid,ally_adc,ally_support,enemy_top,enemy_jungle,enemy_mid,enemy_adc,enemy_support,texto_entrada_nlp,strategy_label,main_phase,objective_focus,risk_level,execution_difficulty,dataset_version
1,Jinx,Alistar,Gnar,MasterYi,Wukong,Taliyah,Swain,BelVeth,Akshan,Kassadin,"La prioridad está en visión profunda, control de arbustos y castigar enemigos separados del grupo. En la práctica, Jinx y MasterYi necesitan que Alistar controle los primeros movimientos contra Taliyah y Kassadin. La prioridad debería girar alrededor de visión oscura antes de Nashor.",pick composition,mid,visión oscura antes de Nashor,bajo,Requiere visión profunda.,V3_implicit_contextual
2,Ashe,Nunu,Olaf,Pyke,Naafiri,Lux,RenataGlasc,Fiddlesticks,Corki,Camille,"La composición aliada se beneficia cuando, con Ashe, Nunu y Olaf frente a Lux, RenataGlasc y Fiddlesticks, La frontline debe absorber la primera entrada mientras los carries mantienen daño constante desde una posición segura. El foco debe estar en dragón o Nashor con formación estable, cuidando prioridad de oleadas.",front-to-back,mid-late,dragón o Nashor con formación estable,bajo,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
3,JarvanIV,Ivern,Janna,Tryndamere,Veigar,Yone,Xerath,Vladimir,Nocturne,Riven,"La lectura inicial indica que, con JarvanIV, Ivern y Janna frente a Yone, Xerath y Vladimir, La condición de victoria depende de que el carry llegue con objetos y pueda pegar sin recibir acceso directo del rival. El foco debe estar en peleas tardías con el carry protegido, cuidando río sin visión.",protect hypercarry,late,peleas tardías con el carry protegido,medio,Vulnerable a dive y pick comp.,V3_implicit_contextual
4,Thresh,Katarina,Nasus,Annie,Anivia,Ekko,Briar,Caitlyn,Yuumi,Rell,"El equipo puede ganar moviendo mejor las oleadas, presionando laterales y forzando al rival a responder en zonas opuestas. En la práctica, Thresh y Annie necesitan que Katarina controle los primeros movimientos contra Ekko y Rell. La prioridad debería girar alrededor de oleadas laterales y estructuras.",macro composition,mid-late,oleadas laterales y estructuras,bajo,Menos directa en peleas 5v5.,V3_implicit_contextual
5,Riven,Zilean,JarvanIV,DrMundo,Xayah,Irelia,Lux,Jax,RekSai,Soraka,"El draft aliado mezcla bruiser dive, utility y tempo, mientras el rival amenaza con splitpush y control mage. El draft tiene sentido si todos compran tiempo, bloquean amenazas y permiten que el carry sostenga el daño. La ejecución depende de frontline disponible.",protect hypercarry,late,peleas tardías con el carry protegido,medio,Vulnerable a dive y pick comp.,V3_implicit_contextual
6,Heimerdinger,Katarina,AurelionSol,Caitlyn,Gwen,Malphite,Illaoi,Kennen,Naafiri,Yasuo,"El draft aliado mezcla control mage, scaling y poke, mientras el rival amenaza con engage y side lane pressure. La condición de victoria aparece antes del minuto quince, especialmente si la jungla conecta con líneas fuertes. La ejecución depende de setup de Nashor.",agresivo early,early,"primer heraldo, placas y presión de río",bajo,No extender partida sin ventaja.,V3_implicit_contextual
7,Rengar,Anivia,Annie,Nunu,Riven,KhaZix,Hwei,AurelionSol,Taliyah,Gangplank,"El draft aliado mezcla dive, poke y capturas previas, mientras el rival amenaza con early gank y capturas previas. No se trata de esperar escalado, sino de encadenar jugadas rápidas antes de que el rival estabilice. La ejecución depende de ventanas de tempo.",tempo composition,early-mid,"heraldo, dives y rotaciones tempranas",medio,Pierde fuerza si no convierte presión.,V3_implicit_contextual
8,Braum,Sejuani,Maokai,Lulu,Nasus,Sona,TahmKench,Lillia,Katarina,Kalista,"El draft aliado mezcla capturas previas, engage y objective control, mientras el rival amenaza con disengage y bruiser dive. El equipo puede ganar moviendo mejor las oleadas, presionando laterales y forzando al rival a responder en zonas opuestas. La ejecución depende de posición del tirador.",macro composition,mid-late,oleadas laterales y estructuras,medio,Menos directa en peleas 5v5.,V3_implicit_contextual
9,Zac,Ziggs,Draven,Ashe,Ambessa,Briar,Taliyah,Neeko,Jax,XinZhao,"El draft aliado mezcla early gank, control mage y pelea ordenada, mientras el rival amenaza con tempo y roaming tempo. El equipo debe llegar antes a dragón o heraldo, colocar visión profunda y usar prioridad de líneas para controlar entradas. La ejecución depende de ventanas de tempo.",jugar a objetivos,mid,"dragones, heraldo y visión previa",alto,Necesita prioridad previa de líneas.,V3_implicit_contextual
10,Malzahar,Rell,Samira,Zac,KaiSa,Azir,Yuumi,Annie,Hecarim,KogMaw,"La composición gana si controla espacio con rango, limpia oleadas rápido y evita peleas cerradas sin ventaja previa. En la práctica, Malzahar y Zac necesitan que Rell controle los primeros movimientos contra Azir y KogMaw. La prioridad debería girar alrededor de torres y zonas neutrales.",poke composition,mid,torres y zonas neutrales,bajo,No forzar pelea cerrada sin ventaja de vida.,V3_implicit_contextual
11,Sivir,Maokai,Gwen,Alistar,Ezreal,Akali,Nilah,Cassiopeia,Caitlyn,Zed,"Por la forma del draft, con Sivir, Maokai y Gwen frente a Akali, Nilah y Cassiopeia, La presión debe dividir al rival, forzarlo a elegir entre defender torres laterales o contestar objetivos mayores. El foco debe estar en torres laterales y presión cruzada, cuidando ventanas de tempo.",splitpush táctico,mid-late,torres laterales y presión cruzada,medio,Requiere visión lateral y TP disponible.,V3_implicit_contextual
12,Ryze,Aphelios,Lux,Vi,VelKoz,Nilah,Gnar,XinZhao,LeBlanc,Vayne,"El punto clave será que, con Ryze, Aphelios y Lux frente a Nilah, Gnar y XinZhao, La composición tiene varias formas de entrar sobre la retaguardia rival y eliminar al tirador antes de que pueda pegar libremente. El foco debe estar en torres exteriores y castigo sobre carries, cuidando ventanas de tempo.",dive composition,early-mid,torres exteriores y castigo sobre carries,alto,Riesgo alto si el rival tiene disengage.,V3_implicit_contextual
13,Veigar,Evelynn,Yorick,Tristana,Gnar,Syndra,Shen,Jinx,Pyke,VelKoz,"La partida debe abrirse por los costados, no por peleas frontales sin preparación. En la práctica, Veigar y Tristana necesitan que Evelynn controle los primeros movimientos contra Syndra y VelKoz. La prioridad debería girar alrededor de torres laterales y presión cruzada.",splitpush táctico,mid-late,torres laterales y presión cruzada,bajo,Requiere visión lateral y TP disponible.,V3_implicit_contextual
14,Aurora,Mel,Cassiopeia,Taliyah,Senna,Nami,Galio,Singed,Milio,Viego,"El punto clave será que, con Aurora, Mel y Cassiopeia frente a Nami, Galio y Singed, El plan depende de mantener formación compacta, responder al engage rival y permitir que el tirador golpee sin ser alcanzado. El foco debe estar en dragón o Nashor con formación estable, cuidando presión de mapa.",front-to-back,mid-late,dragón o Nashor con formación estable,medio,Cuidar flancos y amenazas de dive.,V3_implicit_contextual
15,Rengar,Talon,TahmKench,Illaoi,Kennen,XinZhao,RenataGlasc,Bard,Zyra,TwistedFate,"En este escenario, con Rengar, Talon y TahmKench frente a XinZhao, RenataGlasc y Bard, El mapa debe jugarse alrededor de temporizadores, visión y rotaciones coordinadas hacia los puntos importantes. El foco debe estar en dragones, heraldo y visión previa, cuidando flancos laterales.",jugar a objetivos,mid,"dragones, heraldo y visión previa",bajo,Necesita prioridad previa de líneas.,V3_implicit_contextual
16,Heimerdinger,Malzahar,Gangplank,Graves,Lissandra,Cassiopeia,Yuumi,Syndra,Morgana,XinZhao,"La composición aliada se beneficia cuando, con Heimerdinger, Malzahar y Gangplank frente a Cassiopeia, Yuumi y Syndra, El draft tiene sentido si todos compran tiempo, bloquean amenazas y permiten que el carry sostenga el daño. El foco debe estar en peleas tardías con el carry protegido, cuidando temporizadores de objetivos.",protect hypercarry,late,peleas tardías con el carry protegido,medio,Vulnerable a dive y pick comp.,V3_implicit_contextual
17,Lissandra,Xayah,Kalista,Malzahar,Zeri,Morgana,Nocturne,Maokai,Mel,Briar,"La lectura inicial indica que, con Lissandra, Xayah y Kalista frente a Morgana, Nocturne y Maokai, La composición gana valor cuando puede ocultar visión, esperar errores de posicionamiento y atrapar objetivos aislados. El foco debe estar en visión oscura antes de Nashor, cuidando prioridad de oleadas.",pick composition,mid,visión oscura antes de Nashor,bajo,Requiere visión profunda.,V3_implicit_contextual
